chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق1.1.1,تحقق من استخدام دورة حياة تطوير البرمجيات الآمنة التي تتناول الأمان في جميع مراحل التطوير. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق2.1.1,تحقق من استخدام نمذجة التهديد عند كل تغيير في التصميم أو في الـ sprint لتحديد التهديدات، والتخطيط للإجراءات المضادة، وتسهيل الاستجابات المناسبة للمخاطر، وتوجيه اختبارات الأمان.,,✓,✓,1053,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق3.1.1,"تحقق من أن جميع قصص المستخدم user stories والميزات تحتوي على قيود أمان وظيفية، مثل ""بصفتي مستخدمًا، يجب أن أتمكن من عرض ملف التعريف الخاص بي وتعديله. لا ينبغي أن أكون قادرًا على عرض ملف التعريف الخاص بأي شخص آخر أو تعديله""",,✓,✓,1110,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق4.1.1,تحقق من التوثيق والتبرير justification لجميع حدود ثقة التطبيق trust boundaries والمكونات وتدفقات البيانات significant data flows الهامة.,,✓,✓,1059,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق5.1.1,تحقق من التعريف والتحليل الأمني للمعمارية عالية المستوى high-level architecture للتطبيق وجميع الخدمات المتصلة عن بعد connected remote services. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,1059,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق6.1.1,تحقق من تنفيذ ضوابط أمنية مركزية وبسيطة (الاقتصاد في التصميم economy of design) تم فحصها وتعتبر آمنة وقابلة لإعادة الاستخدام لتجنب الضوابط المكررة أو المفقودة أو غير الفعالة أو غير الآمنة. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,637,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق1.1,دورة حياة تطوير البرمجيات الآمنة,ق7.1.1,تحقق من توفر قائمة تحقق لكتابة شيفرة مصدرية آمنة secure coding checklist ،أو متطلبات الأمان أو إرشادات أو سياسة لجميع المطورين والمختبرين.,,✓,✓,637,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق2.1,معمارية المصادقة,ق1.2.1,تحقق من استخدام حسابات نظام تشغيل فريدة أو خاصة بامتيازات منخفضة low-privilege لجميع مكونات التطبيق والخدمات والخوادم. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,250,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق2.1,معمارية المصادقة,ق2.2.1,تحقق من أن جميع الاتصالات بين مكونات التطبيق ، بما في ذلك الـ APIs وmiddleware وطبقات البيانات data layers هي مصادق عليها authenticated. يجب أن تحتوي المكونات على أقل الامتيازات اللازمة. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,306,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق2.1,معمارية المصادقة,ق3.2.1,تحقق من أن التطبيق يستخدم آلية مصادقة واحدة تم فحصها ومن المعروف أنها آمنة ، ويمكن توسيعها لتشمل مصادقة قوية ، ولديه ما يكفي من التسجيل logging والمراقبة لاكتشاف إساءة استخدام الحساب أو الخروقات account abuse or breaches .,,✓,✓,306,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق2.1,معمارية المصادقة,ق4.2.1,تحقق من أن جميع مسارات المصادقة وواجهات برمجة تطبيقات إدارة الهوية identity management APIs تستخدم ضوابط أمان قوية وملائمة للمصادقة ، بحيث لا توجد بدائل أضعف من ناحية مخاطر التطبيق.,,✓,✓,306,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق4.1,معمارية التحكم في الوصول,ق1.4.1,تحقق من أن نقاط التنفيذ الموثوقة trusted enforcement points كالتي عند بوابات التحكم في الوصول والخوادم والـserverless functions  تفرض ضوابط الوصول. لا تفرض أبدًا ضوابط الوصول على العميل.,,✓,✓,602,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق4.1,معمارية التحكم في الوصول,ق2.4.1,[تم حذفها ، غير قابلة للتنفيذ],,,,,
ت1,المعمارية، والتصميم ونمذجة التهديدات,ق4.1,معمارية التحكم في الوصول,ق3.4.1,[تم حذفها ، مكررة عن 3.1.4],,,,,
