chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.1,"Prüfen Sie, dass der SDLC die Sicherheit in allen Entwicklungsphasen berücksichtigt. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,,
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.2,"Prüfen Sie, dass für Designänderung oder Sprintplanung eine Bedrohungsanalyse stattfand, um Bedrohungen zu identifizieren, Gegenmaßnahmen zu planen und umzusetzen sowie passende Sicherheitstests zu planen.",,✓,✓,1053,
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.3,"Prüfen Sie, dass alle Userstories und alle Merkmale funktionale Sicherheitsanforderungen enthalten, z.B. „Als Benutzer sollte ich mein Profil anzeigen und bearbeiten können. Ich sollte nicht in der Lage sein, das Profil eines anderen anzusehen oder zu bearbeiten“.",,✓,✓,1110,
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.4,"Prüfen Sie die Dokumentation und Erläuterung aller Sicherheitsgrenzen, Komponenten und wichtigen Datenflüsse der Anwendung.",,✓,✓,1059,
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.5,Prüfen Sie die Definition und Sicherheitsanalyse der High Level Architektur der Anwendung und aller verbundenen Remoteservices. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,1059,
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.6,"Prüfen Sie, dass Sicherheitsmaßnahmen zentralisiert, einfach, geprüft, sicher und wiederverwendbar implementiert worden sind. Dies vermeidet doppelte, fehlende, unwirksame oder unsichere Maßnahmen. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,637,
V1,"Architektur, Design und Threat Modeling",V1.1,Der sichere Softwareentwicklungszyklus,V1.1.7,"Prüfen Sie die Verfügbarkeit einer Checkliste für die sichere Programmierung, Sicherheitsanforderungen, eines Leitfadens oder Richtlinien für alle Entwickler und Tester.",,✓,✓,637,
V1,"Architektur, Design und Threat Modeling",V1.2,Architektur der Authentifizierung,V1.2.1,"Prüfen Sie die Nutzung spezifischer Betriebssystemkonten bzw. solcher mit minimalen Berechtigungen für alle Komponenten, Dienste und Server. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,250,
V1,"Architektur, Design und Threat Modeling",V1.2,Architektur der Authentifizierung,V1.2.2,"Prüfen Sie, dass die Kommunikation zwischen Anwendungskomponenten, einschließlich APIs, Middleware und Datenschichten, authentifiziert wird. Komponenten sollten die minimal notwendigen Berechtigungen haben. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,306,
V1,"Architektur, Design und Threat Modeling",V1.2,Architektur der Authentifizierung,V1.2.3,"Prüfen Sie, dass die Anwendung einen einzigen geprüften und sicheren Authentifizierungsmechanismus verwendet, der auf eine starke Authentifizierung erweitert werden kann und über ein ausreichendes Logging und Monitoring verfügt, um Einbrüche oder Missbrauch zu erkennen.",,✓,✓,306,
