chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.1,Verifique el uso de un ciclo de vida de desarrollo de software seguro que aborde la seguridad en todas las etapas del desarrollo. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,,
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.2,"Verifique el uso del modelado de amenazas para cada cambio de diseño o planificación de sprint para identificar amenazas, planificar contramedidas, facilitar respuestas de riesgo adecuadas y guiar las pruebas de seguridad.",,✓,✓,1053,
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.3,"Verifique que todas las historias y características de usuario contienen restricciones de seguridad funcionales, como por ejemplo: ""Como usuario, debería poder ver y editar mi perfil. No debería ser capaz de ver o editar el perfil de nadie más""",,✓,✓,1110,
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.4,"Verifique la documentación y la justificación de todos los límites de confianza, componentes y flujos de datos significativos de la aplicación.",,✓,✓,1059,
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.5,Verifique la definición y el análisis de seguridad de la arquitectura de alto nivel de la aplicación y todos los servicios remotos conectados. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,1059,
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.6,"Verifique la implementación de controles de seguridad centralizados, simples (economía del diseño), comprobados, seguros y reutilizables para evitar controles duplicados, faltantes, ineficaces o inseguros. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,637,
V1,,V1.1,Ciclo de Vida de Desarrollo de Software Seguro,V1.1.7,"Verifique la disponibilidad de una lista de comprobación de codificación segura, requisitos de seguridad, directriz o directiva para todos los desarrolladores y evaluadores.",,✓,✓,637,
V1,,V1.2,Arquitectura de Autenticación,V1.2.1,"Verifique el uso de cuentas de sistema operativo únicas o especiales con privilegios bajos para todos los componentes, servicios y servidores de la aplicación. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,250,
V1,,V1.2,Arquitectura de Autenticación,V1.2.2,"Verifique que las comunicaciones entre los componentes de la aplicación, incluidas las API, el middleware y las capas de datos, se autentican. Los componentes deben tener los mínimos privilegios necesarios. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,306,
V1,,V1.2,Arquitectura de Autenticación,V1.2.3,"Verifique que la aplicación utiliza un único mecanismo de autenticación comprobado que se sabe que es seguro, se puede ampliar para incluir una autenticación segura y tiene suficiente logging y supervisión para detectar abuso de cuenta o brechas.",,✓,✓,306,
V1,,V1.2,Arquitectura de Autenticación,V1.2.4,"Verifique que todas las vías de autenticación y las API de administración de identidades implementan una fortaleza coherente del control de seguridad de autenticación, de modo que no haya alternativas más débiles por el riesgo de la aplicación.",,✓,✓,306,
V1,,V1.4,Arquitectura de Control de Acceso,V1.4.1,"Verifique que los puntos de cumplimiento de confianza, tales como puertas de enlace de control de acceso, servidores y funciones serverless, exijan controles de acceso. Nunca aplique controles de acceso en el cliente.",,✓,✓,602,
V1,,V1.4,Arquitectura de Control de Acceso,V1.4.2,"[ELIMINADO, NO ACCIONABLE]",,,,,
V1,,V1.4,Arquitectura de Control de Acceso,V1.4.3,"[ELIMINADO, DUPLICADO CON 4.1.3]",,,,,
V1,,V1.4,Arquitectura de Control de Acceso,V1.4.4,Verifique que la aplicación utilice un mecanismo de control de acceso único y bien comprobado para acceder a datos y recursos protegidos. Todas las solicitudes deben pasar por este único mecanismo para evitar copiar y pegar o rutas alternativas inseguras. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,284,
V1,,V1.4,Arquitectura de Control de Acceso,V1.4.5,Verifique que se utiliza el control de acceso basado en atributos o entidades mediante el cual el código comprueba la autorización del usuario para un elemento de característica o datos en lugar de solo su rol. Los permisos deben asignarse mediante roles. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,275,
V1,,V1.5,Arquitectura de Entradas y Salidas,V1.5.1,"Verifique que los requisitos de entrada y salida definan claramente cómo manejar y procesar datos en función del tipo, contenido y las leyes, regulaciones y otras leyes aplicables, reglamentos y otras normas de cumplimiento de políticas.",,✓,✓,1029,
V1,,V1.5,Arquitectura de Entradas y Salidas,V1.5.2,"Verifique que no se usa serialización al comunicarse con clientes que no son de confianza. Si esto no es posible, asegúrese de que se apliquen controles de integridad adecuados (y posiblemente cifrado si se envían datos confidenciales) para evitar ataques de deserialización, incluida la inyección de objetos.",,✓,✓,502,
V1,,V1.5,Arquitectura de Entradas y Salidas,V1.5.3,Verifique que la validación de datos de entrada (input) se aplica en una capa de servicio de confianza. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,602,
V1,,V1.5,Arquitectura de Entradas y Salidas,V1.5.4,Verifique que la codificación de salida (output encode) se produce cerca o en el intérprete para el que está destinada. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,116,
V1,,V1.6,Arquitectura Criptográfica,V1.6.1,Verifique que existe una política explícita para la administración de claves criptográficas y que un ciclo de vida de clave criptográfica sigue un estándar de administración de claves como NIST SP 800-57.,,✓,✓,320,
V1,,V1.6,Arquitectura Criptográfica,V1.6.2,Verifique que los consumidores de servicios criptográficos protegen el material clave y otros secretos mediante el uso de almacenes de claves o alternativas basadas en API.,,✓,✓,320,
V1,,V1.6,Arquitectura Criptográfica,V1.6.3,Verifique que todas las claves y contraseñas son reemplazables y forman parte de un proceso bien definido para volver a cifrar los datos confidenciales.,,✓,✓,320,
V1,,V1.6,Arquitectura Criptográfica,V1.6.4,"Verifique que la arquitectura trata los secretos del lado cliente (como claves simétricas, contraseñas o tokens de API) como inseguros y nunca los usa para proteger o acceder a datos confidenciales.",,✓,✓,320,
V1,,V1.7,"Arquitectura de Errores, Logging y Auditoría",V1.7.1,Verifique que se utilice un formato común y un enfoque de logging en todo el sistema. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,1009,
V1,,V1.7,"Arquitectura de Errores, Logging y Auditoría",V1.7.2,"Verifique que los registros de log se transmitan de forma segura a un sistema preferentemente remoto para análisis, detección, alertas y escalamiento. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,,
V1,,V1.8,Arquitectura de Protección de Datos y Privacidad,V1.8.1,Verifique que todos los datos confidenciales se identifiquen y clasifiquen en niveles de protección.,,✓,✓,,
V1,,V1.8,Arquitectura de Protección de Datos y Privacidad,V1.8.2,"Verifique que todos los niveles de protección tienen un conjunto asociado de requisitos de protección, como los requisitos de cifrado, los requisitos de integridad, la retención, la privacidad y otros requisitos de confidencialidad, y que estos se aplican en la arquitectura.",,✓,✓,,
V1,,V1.9,Arquitectura de Comunicaciones,V1.9.1,"Verifique que la aplicación cifra las comunicaciones entre componentes, especialmente cuando estos componentes se encuentran en contenedores, sistemas, sitios o proveedores de nube diferentes. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,319,
V1,,V1.9,Arquitectura de Comunicaciones,V1.9.2,"Verifique que los componentes de la aplicación verifiquen la autenticidad de cada lado en un vínculo de comunicación para evitar ataques de ""persona en el medio"". Por ejemplo, los componentes de la aplicación deben validar certificados y cadenas TLS.",,✓,✓,295,
V1,,V1.10,Arquitectura de Software Malicioso,V1.10.1,"Verifique que un sistema de control de código fuente está en uso, con procedimientos para garantizar que los check-ins están respaldados tickets de issues o solicitudes de cambio. El sistema de control de código fuente debe tener control de acceso y usuarios identificables para permitir la trazabilidad de cualquier cambio.",,✓,✓,284,
V1,,V1.11,Arquitectura de la Lógica de Negocio,V1.11.1,Verifique la definición y documentación de todos los componentes de la aplicación en términos de las funciones de negocio o de seguridad que proporcionan.,,✓,✓,1059,
V1,,V1.11,Arquitectura de la Lógica de Negocio,V1.11.2,"Verifique que todos los flujos de lógica de negocio de alto valor, incluida la autenticación, la administración de sesiones y el control de acceso, no compartan estados no sincronizados.",,✓,✓,362,
V1,,V1.11,Arquitectura de la Lógica de Negocio,V1.11.3,"Verifique que todos los flujos de lógica de negocio de alto valor, incluida la autenticación, la administración de sesiones y el control de acceso, sean seguros para subprocesos y resistentes a condiciones de carrera time-of-check y time-of-use (race conditions).",,,✓,367,
V1,,V1.12,Arquitectura de Carga Segura de Archivos,V1.12.1,"[ELIMINADO, DUPLICADO CON 12.4.1]",,,,,
