chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.1,Verificare l'utilizzo di un ciclo di vita sicuro dello sviluppo software (S-SDLC) che tenga conto della sicurezza in tutte le fasi di sviluppo. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,,
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.2,"Verificare l'utilizzo del threat modeling per ogni modifica del design o nella pianificazione dello sprint al fine di identificare le minacce, pianificare contromisure, facilitare risposte ai rischi appropriate e guidare i test di sicurezza.",,✓,✓,1053,
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.3,"Verificare che tutte le user story e le funzionalità includano vincoli di sicurezza funzionali, come ""Come utente, dovrei poter visualizzare e modificare il mio profilo. Non dovrei poter visualizzare o modificare il profilo di nessun altro""",,✓,✓,1110,
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.4,"Verificare che tutti i perimetri di trust, i componenti e i flussi di dati significativi dell'applicazione siano documentati e giustificati in modo accurato.",,✓,✓,1059,
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.5,Verificare che l'architettura di alto livello dell'applicazione e tutti i servizi remoti collegati siano definiti e sottoposti a un'analisi approfondita dal punto di vista della sicurezza. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,1059,
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.6,"Verificare che siano implementati controlli di sicurezza centralizzati, semplici (secondo il principio dell'economia di progettazione), verificati, sicuri e riutilizzabili, per evitare controlli duplicati, mancanti, inefficaci o non sicuri. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,637,
V1,"Architettura, progettazione e Threat Modeling",V1.1,Ciclo di vita sicuro dello sviluppo software (S-SDLC),V1.1.7,"Verificare che tutti gli sviluppatori e tester abbiano a disposizione una checklist di programmazione sicura, requisiti di sicurezza, linee guida o policy.",,✓,✓,637,
V1,"Architettura, progettazione e Threat Modeling",V1.2,Architettura di autenticazione,V1.2.1,"Verificare l'utilizzo di account di sistema operativo univoci o speciali con privilegi minimi per tutti i componenti, servizi e server dell'applicazione. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,250,
V1,"Architettura, progettazione e Threat Modeling",V1.2,Architettura di autenticazione,V1.2.2,"Verificare che le comunicazioni tra i componenti dell'applicazione, incluse le API, il middleware e il data layer, siano autenticate. I componenti devono avere i privilegi minimi necessari. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,306,
V1,"Architettura, progettazione e Threat Modeling",V1.2,Architettura di autenticazione,V1.2.3,"Verificare che l'applicazione utilizzi un unico meccanismo di autenticazione verificato noto per essere sicuro, estendibile per includere l'autenticazione forte e disponga di registri e monitoraggio sufficienti per rilevare abusi o violazioni dell'account.",,✓,✓,306,
V1,"Architettura, progettazione e Threat Modeling",V1.2,Architettura di autenticazione,V1.2.4,"Verificare che tutti i flussi di autenticazione e le API di gestione delle identità implementino dei controlli di autenticazione coerenti in efficacia, in modo tale che non ci siano alternative più deboli, in linea con il livello di rischio dell'applicazione.",,✓,✓,306,
V1,"Architettura, progettazione e Threat Modeling",V1.4,Architettura del Controllo Accessi,V1.4.1,"Verificare che i punti di applicazione trusted, come gateway di controllo accessi, server e funzioni serverless, applichino controlli di accesso. Non implementare mai controlli di accesso sul client.",,✓,✓,602,
V1,"Architettura, progettazione e Threat Modeling",V1.4,Architettura del Controllo Accessi,V1.4.2,"[ELIMINATO, NON APPLICABILE]",,,,,
V1,"Architettura, progettazione e Threat Modeling",V1.4,Architettura del Controllo Accessi,V1.4.3,"[ELIMINATO, DUPLICATO DI 4.1.3]",,,,,
V1,"Architettura, progettazione e Threat Modeling",V1.4,Architettura del Controllo Accessi,V1.4.4,Verificare che l'applicazione utilizzi un unico meccanismo di controllo accessi ben collaudato per accedere a dati e risorse protette. Tutte le richieste devono passare attraverso questo meccanismo per evitare copia e incolla o percorsi alternativi non sicuri. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,284,
V1,"Architettura, progettazione e Threat Modeling",V1.4,Architettura del Controllo Accessi,V1.4.5,"Verificare che venga utilizzato il controllo di accesso basato su attributi o su funzionalità, in modo che il codice verifichi l'autorizzazione dell'utente per una funzionalità/elemento dati, non solo per il suo ruolo. Le autorizzazioni devono comunque essere assegnate utilizzando i ruoli. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,275,
V1,"Architettura, progettazione e Threat Modeling",V1.5,Architettura di Input e Output ,V1.5.1,"Verificare che i requisiti di input e output definiscano chiaramente come gestire ed elaborare i dati in base al tipo, al contenuto, alle leggi in vigore, ai regolamenti e alla conformità ad altre policy applicabili.",,✓,✓,1029,
