chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.1,Verifique o uso de um ciclo de vida de desenvolvimento de software seguro que aborde a segurança em todos os estágios de desenvolvimento. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.2,"Verifique o uso da modelagem de ameaças para cada alteração de design ou planejamento de sprint para identificar ameaças, planejar contramedidas, facilitar respostas apropriadas a riscos e orientar testes de segurança.",,✓,✓,1053,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.3,"Verifique se todas as histórias e recursos do usuário contêm restrições de segurança funcionais, como ""Como usuário, devo poder visualizar e editar meu perfil. Não devo visualizar ou editar o perfil de outra pessoa""",,✓,✓,1110,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.4,"Verifique a documentação e justificativa de todos os limites de confiança, componentes e fluxos de dados significativos da aplicação.",,✓,✓,1059,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.5,Verifique a definição e a análise de segurança da arquitetura de alto nível da aplicação e de todos os serviços remotos conectados. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,1059,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.6,"Verifique a implementação de controles de segurança centralizados, simples (economia de design), verificados, seguros e reutilizáveis para evitar controles duplicados, ausentes, ineficazes ou inseguros. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,637,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.1,Ciclo de vida de desenvolvimento de software seguro,V1.1.7,"Verifique a disponibilidade de uma lista de verificação de codificação segura, requisitos de segurança, diretriz ou política para todos os desenvolvedores e testadores.",,✓,✓,637,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.2,Arquitetura de autenticação,V1.2.1,"Verifique o uso de contas exclusivas ou especiais de sistema operacional de baixo privilégio para todos os componentes de aplicações, serviços e servidores. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,250,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.2,Arquitetura de autenticação,V1.2.2,"Verifique se as comunicações entre os componentes da aplicação, incluindo APIs, middleware e camadas de dados, são autenticadas. Os componentes devem ter os privilégios mínimos necessários. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,306,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.2,Arquitetura de autenticação,V1.2.3,"Verifique se a aplicação usa um único mecanismo de autenticação verificado que é conhecido por ser seguro, pode ser estendido para incluir autenticação forte e tem registro e monitoramento suficientes para detectar abuso ou violações de conta.",,✓,✓,306,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.2,Arquitetura de autenticação,V1.2.4,"Verifique se todos os caminhos de autenticação e APIs de gestão de identidade implementam força de controle de segurança de autenticação consistente, de modo que não haja alternativas mais fracas pelo risco da aplicação.",,✓,✓,306,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.4,Arquitetura de controle de acesso,V1.4.1,"Verifique se os pontos de imposição confiáveis, como gateways de controle de acesso, servidores e funções serverless, reforçam os controles de acesso. Nunca imponha controles de acesso no cliente.",,✓,✓,602,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.4,Arquitetura de controle de acesso,V1.4.2,"[EXCLUÍDO, NÃO ACIONÁVEL]",,,,,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.4,Arquitetura de controle de acesso,V1.4.3,"[EXCLUÍDO, DUPLICADO DE 4.1.3]",,,,,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.4,Arquitetura de controle de acesso,V1.4.4,Verifique se a aplicação usa um mecanismo de controle de acesso único e bem testado para acessar dados e recursos protegidos. Todas as solicitações devem passar por esse mecanismo único para evitar copiar e colar ou caminhos alternativos inseguros. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,284,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.4,Arquitetura de controle de acesso,V1.4.5,Verifique se o controle de acesso baseado em atributo ou recurso é usado pelo qual o código verifica a autorização do usuário para um item de recurso/dado em vez de apenas sua função. As permissões ainda devem ser alocadas usando funções. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,275,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.5,Arquitetura de input e output,V1.5.1,"Verifique se os requisitos de input e output definem claramente como lidar e processar dados com base no tipo, conteúdo e leis aplicáveis, regulamentos e outras conformidades com políticas.",,✓,✓,1029,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.5,Arquitetura de input e output,V1.5.2,"Verifique se a serialização não é usada ao se comunicar com clientes não confiáveis. Se isso não for possível, certifique-se de que os controles de integridade adequados (e possivelmente a criptografia se dados confidenciais forem enviados) sejam aplicados para evitar ataques de desserialização, incluindo injeção de objeto.",,✓,✓,502,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.5,Arquitetura de input e output,V1.5.3,Verifique se a validação de input é aplicada numa camada de serviço confiável. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,602,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.5,Arquitetura de input e output,V1.5.4,Verifique se a codificação de output ocorre perto ou pelo interpretador para o qual se destina. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering)),,✓,✓,116,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.6,Arquitetura Criptográfica,V1.6.1,"Verifique se há uma política explícita para gestão de chaves criptográficas e se o ciclo de vida de uma chave criptográfica segue um padrão de gestão de chaves, como NIST SP 800-57.",,✓,✓,320,
V1,"Arquitetura, Design e Modelagem de Ameaças",V1.6,Arquitetura Criptográfica,V1.6.2,Verifique se os consumidores de serviços criptográficos protegem o material de chaves e outros segredos usando cofres de chaves ou alternativas baseadas em API.,,✓,✓,320,
