chapter_id,chapter_name,section_id,section_name,req_id,req_description,level1,level2,level3,cwe,nist
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.1,"Убедитесь в использовании безопасного жизненного цикла разработки программного обеспечения, который обеспечивает безопасность на всех этапах разработки. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,,
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.2,"Убедитесь в применении моделирования угроз для каждого изменения дизайна или планирования спринта, чтобы выявлять угрозы, планировать контрмеры, способствовать надлежащему реагированию на риски и управлять тестированием безопасности.",,✓,✓,1053,
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.3,"Убедитесь, что все пользовательские истории и функции содержат функциональные ограничения безопасности. Например, такие: ""Как пользователь, я должен иметь возможность просматривать и редактировать свой профиль, но не должен иметь возможности просматривать или редактировать чужой профиль"".",,✓,✓,1110,
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.4,"Убедитесь в наличии документации и обоснования для всех границ доверия приложения, его компонентов и значимых информационных взаимодействий.",,✓,✓,1059,
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.5,"Проверьте описание концептуальной архитектуры приложения, связанных с ним внешних систем и анализ их безопасности. ([C1](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,1059,
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.6,"Проконтролируйте наличие централизованных, простых в реализации, проверенных, безопасных и переиспользуемых мер безопасности, чтобы избежать их дублирования или, наоборот, отсутствия, а также неэффективных или небезопасных мер. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,637,
V1,"Архитектура, проектирование и моделирование угроз",V1.1,Жизненный цикл разработки безопасного ПО,V1.1.7,"Убедитесь в наличии чек-листа для безопасной разработки, требований, политик и стандартов безопасности, а также в их доступности для разработчиков и тестировщиков.",,✓,✓,637,
V1,"Архитектура, проектирование и моделирование угроз",V1.2,Аутентификация,V1.2.1,"Убедитесь в использовании всеми компонентами приложений, служб и серверов уникальных или специальных учетных записей операционной системы с низким уровнем привилегий. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,250,
V1,"Архитектура, проектирование и моделирование угроз",V1.2,Аутентификация,V1.2.2,"Убедитесь, что взаимодействие между всеми компонентами приложения, включая API, промежуточное ПО и уровень хранения данных, аутентифицировано. Компоненты должны иметь минимально необходимые привилегии. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,306,
V1,"Архитектура, проектирование и моделирование угроз",V1.2,Аутентификация,V1.2.3,"Убедитесь, что приложение использует единый утвержденный механизм аутентификации, который может быть дополнен включением строгой аутентификации, а также обеспечивает адекватное журналирование и мониторинг для обнаружения нарушений политик безопасности или взлома учетной записи.",,✓,✓,306,
V1,"Архитектура, проектирование и моделирование угроз",V1.2,Аутентификация,V1.2.4,"Убедитесь, что все пути аутентификации и API идентификации реализуют заданный уровень безопасности, и что более слабые альтернативы отсутствуют.",,✓,✓,306,
V1,"Архитектура, проектирование и моделирование угроз",V1.4,Контроль доступа,V1.4.1,"Убедитесь, что контроль доступа применяется в пределах контролируемоой зоны (т.е. на шлюзах безопасности, серверах и бессерверных функциях). Нельзя применять контроль доступа на стороне клиента.",,✓,✓,602,
V1,"Архитектура, проектирование и моделирование угроз",V1.4,Контроль доступа,V1.4.2,"[УДАЛЕНО, НЕВОЗМОЖНО ПРОВЕРИТЬ]",,,,,
V1,"Архитектура, проектирование и моделирование угроз",V1.4,Контроль доступа,V1.4.3,"[УДАЛЕНО, ДУБЛИРУЕТ 4.1.3]",,,,,
V1,"Архитектура, проектирование и моделирование угроз",V1.4,Контроль доступа,V1.4.4,"Убедитесь, что приложение использует единый и тщательно протестированный механизм контроля доступа для доступа к защищенным данным и ресурсам. Все запросы должны проходить через этот единый механизм, чтобы избежать копирования и вставки или небезопасных альтернативных путей. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,284,
V1,"Архитектура, проектирование и моделирование угроз",V1.4,Контроль доступа,V1.4.5,"Убедитесь, что при управлении доступом на основе атрибутов или функций, код проверяет доступ пользователя к функции/данным, а не только его роль. Разрешения в любом случае должны выдаваться в соответствии с ролью. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,275,
V1,"Архитектура, проектирование и моделирование угроз",V1.5,Входные и выходные данные,V1.5.1,"Убедитесь, что требования к входным и выходным данным четко определяют, как обращаться с данными и обрабатывать их в зависимости от типа, содержимого и применимых законов, нормативных документов и других политик.",,✓,✓,1029,
V1,"Архитектура, проектирование и моделирование угроз",V1.5,Входные и выходные данные,V1.5.2,"Убедитесь, что сериализация не используется при взаимодействии с недоверенными клиентами. Если это невозможно, убедитесь, что применяются адекватные меры контроля целостности (и, при необходимости, шифрование при передаче конфиденциальных данных) для предотвращения атак десериализации, включая внедрение объектов.",,✓,✓,502,
V1,"Архитектура, проектирование и моделирование угроз",V1.5,Входные и выходные данные,V1.5.3,"Убедитесь, что форматно-логический контроль входных данных выполняется на уровне доверенного сервиса. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,602,
V1,"Архитектура, проектирование и моделирование угроз",V1.5,Входные и выходные данные,V1.5.4,"Убедитесь, что кодировка и/или экранирование выходных данных проводится интерпретатором, для которого они предназначены, или непосредственно перед ним. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))",,✓,✓,116,
