chapter_id,chapter_name,section_id,section_name,req_id,req_description,L
V1,Кодировка и нейтрализация,V1.1,Архитектура кодировки и нейтрализации,V1.1.1,"Убедитесь, что входные данные декодируются или деэкранируются в каноническую форму (в стандартное представление) только один раз. Декодирование происходит только тогда, когда ожидаются закодированные данные в этой форме, и что это делается перед дальнейшей обработкой входных данных, например, это не выполняется после проверки или нейтрализации.",2
V1,Кодировка и нейтрализация,V1.1,Архитектура кодировки и нейтрализации,V1.1.2,"Убедитесь, что приложение выполняет кодирование и экранирование выходных данных либо в качестве последнего шага перед использованием интерпретатором, для которого оно предназначено, либо самим интерпретатором.",2
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.1,"Убедитесь, что выходная кодировка для ответа HTTP, документа HTML или документа XML соответствует требуемому контексту, например, кодировка соответствующих символов для элементов HTML, атрибутов HTML, комментариев HTML, CSS или полей заголовка HTTP делается таким способом, чтобы избежать изменения структуры сообщения или документа.",1
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.2,"Убедитесь, что при динамическом построении URL-адресов недоверенные данные кодируются в соответствии с их контекстом (например, кодирование URL-адресов или кодирование base64url для query или path параметров или пути). Убедитесь, что разрешены только безопасные протоколы URL-адресов (например, запрещен javascript: или data:).",1
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.3,"Убедитесь, что при динамическом построении содержимого JavaScript (включая JSON) используется кодирование или экранирование выходных данных, чтобы избежать изменения структуры сообщения или документа (чтобы избежать JavaScript и JSON-инъекций).",1
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.4,"Убедитесь, что выборка данных (Redis, Memcached, чтение из файлов, обращение по API) или запросы к базе данных (например, SQL, HQL, NoSQL, Cypher) используют параметризованные запросы, ORM, Entity Frameworks или иным образом защищены от SQL-инъекций и других атак. Это также актуально при написании хранимых процедур.",1
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.5,"Убедитесь, что приложение защищено от внедрения команд ОС и что вызовы операционной системы используют параметризованные запросы к ОС или используют контекстное кодирование вывода командной строки.",1
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.6,"Убедитесь, что приложение защищено от LDAP-инъекций, или что реализованы специальные меры безопасности для их предотвращения.",2
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.7,"Убедитесь, что приложение защищено от атак с использованием XPath-инъекций с помощью параметризации запросов или предварительно скомпилированных запросов.",2
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.8,"Убедитесь, что процессоры LaTeX настроены безопасно (например, не используется флаг «–shell‑escape») и используется разрешенный список команд для предотвращения LaTeX-инъекций.",2
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.9,"Убедитесь, что приложение экранирует специальные символы в регулярных выражениях (обычно с помощью обратной косой черты), чтобы предотвратить их ошибочную интерпретацию как метасимволов.",2
V1,Кодировка и нейтрализация,V1.2,Предотвращение инъекций,V1.2.10,"Убедитесь, что приложение защищено от внедрения формул CSV (CSV Injection). Приложение должно следовать правилам экранирования, определенным в RFC 4180, разделы 2.6 и 2.7, при экспорте содержимого CSV. Кроме того, при экспорте в CSV или другие форматы электронных таблиц (такие как XLS, XLSX или ODF) специальные символы (включая '=', '+', '-', '@', '\t' (табуляция), и '\0' (нулевой символ)) должны экранироваться одинарной кавычкой, если они появляются в качестве первого символа в значении поля.",3
V1,Кодировка и нейтрализация,V1.3,Нейтрализация,V1.3.1,"Убедитесь, что все ненадежные входные данные HTML из редакторов WYSIWYG или аналогичных программ нейтрализуются с помощью известных и безопасных библиотек или функций фреймворка для санитизации HTML.",1
V1,Кодировка и нейтрализация,V1.3,Нейтрализация,V1.3.2,"Убедитесь, что приложение избегает использования eval() или других динамических функций выполнения кода, таких как Spring Expression Language (SpEL). Если нет альтернативы, любой пользовательский ввод должен быть нейтрализован перед выполнением.",1
V1,Кодировка и нейтрализация,V1.3,Нейтрализация,V1.3.3,"Убедитесь, что данные, передаваемые в потенциально опасный контекст, предварительно нейтрализованы, чтобы обеспечить соблюдение мер безопасности, таких как разрешение только тех символов, которые безопасны для данного контекста, и обрезка слишком длинного ввода.",2
V1,Кодировка и нейтрализация,V1.3,Нейтрализация,V1.3.4,"Убедитесь, что предоставленный пользователем файл .SVG проверен или нейтрализован, чтобы он содержал только теги и атрибуты (например, относящиеся к рисованию), которые безопасны для приложения, например, не содержат скриптов и foreignObject.",2
V1,Кодировка и нейтрализация,V1.3,Нейтрализация,V1.3.5,"Убедитесь, что приложение нейтралует или отключает предоставленные пользователем скриптовые данные или выражения шаблонных языков, такие как таблицы стилей Markdown, CSS или XSL, BBCode или аналогичные.",2
V1,Кодировка и нейтрализация,V1.3,Нейтрализация,V1.3.6,"Убедитесь, что приложение защищено от атак с подделкой запросов на стороне сервера (SSRF), проверяя ненадежные данные по разрешенному списку протоколов, доменов, путей и портов, а также нейтрализуя потенциально опасные символы перед использованием данных для вызова другой службы.",2
