chapter_id,chapter_name,section_id,section_name,req_id,req_description,L
V1,Kodlama (Encoding) ve Temizleme,V1.1,Kodlama ve Temizleme Mimarisi,V1.1.1,"Girdinin yalnızca bir kez kanonik forma (canonical form) çözümlendiği veya kaçış işlemlerinin kaldırıldığı, bu işlemin yalnızca verinin bu biçimde beklenmesi durumunda yapıldığı ve bu işlemin girdi doğrulama veya temizleme işlemlerinden sonra değil, önce gerçekleştiği doğrulanmalıdır.",2
V1,Kodlama (Encoding) ve Temizleme,V1.1,Kodlama ve Temizleme Mimarisi,V1.1.2,"Uygulamanın, çıktıyı kullanılması gereken yorumlayıcıya verilmeden hemen önce veya yorumlayıcının kendisi tarafından çıktı kodlaması ya da kaçış işlemi yaptığı doğrulanmalıdır.",2
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.1,"HTTP yanıtı, HTML veya XML belgesi için yapılan çıktı kodlamasının; HTML elemanları, HTML öznitelikleri, HTML yorumları, CSS ya da HTTP başlık alanları gibi bağlamlara uygun olduğu doğrulanmalıdır. Böylece mesaj veya belge yapısının bozulması önlenir.",1
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.2,"Dinamik olarak URL oluşturulurken, güvenilmeyen verinin bağlamına göre (örneğin, sorgu veya yol parametreleri için URL kodlaması ya da base64url kodlaması) kodlandığı doğrulanmalıdır. Yalnızca güvenli URL protokollerine izin verilmelidir (örneğin, javascript: veya data: yasaklanmalıdır).",1
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.3,JavaScript içeriği (JSON dahil) dinamik olarak oluşturulurken çıktı kodlama/kaçış kullanıldığı doğrulanmalıdır. Böylece mesaj veya belge yapısı değiştirilmemiş olur (JavaScript ve JSON enjeksiyonlarının önüne geçilir).,1
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.4,"Veri sorguları veya veritabanı sorguları (SQL, HQL, NoSQL, Cypher vb.) için parametreli sorgular, ORM’ler, entity framework’ler kullanıldığı ya da SQL enjeksiyonu ve diğer veritabanı enjeksiyon saldırılarına karşı koruma sağlandığı doğrulanmalıdır. Bu durum, saklı yordam (stored procedure) yazarken de geçerlidir.",1
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.5,Uygulamanın işletim sistemi komut enjeksiyonlarına karşı korunduğu ve işletim sistemi çağrılarında parametreli OS sorguları veya bağlama özgü komut satırı çıktı kodlamasının kullanıldığı doğrulanmalıdır.,1
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.6,Uygulamanın LDAP enjeksiyon zafiyetlerine karşı korunduğu ya da LDAP enjeksiyonlarını önlemek için özel güvenlik kontrollerinin uygulandığı doğrulanmalıdır.,2
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.7,"XPath enjeksiyon saldırılarına karşı, sorgu parametrelemesi veya önceden derlenmiş sorgular kullanılarak koruma sağlandığı doğrulanmalıdır.",2
V1,Kodlama (Encoding) ve Temizleme,V1.2,Enjeksiyon Önleme,V1.2.8,"LaTeX işlemcilerinin güvenli şekilde yapılandırıldığı (örneğin, --shell-escape bayrağının kullanılmadığı) ve yalnızca izin verilen komutlardan oluşan bir listeyle çalıştırıldığı doğrulanmalıdır.",2
